track_id,artist_name,genre,release_day,tempo,energy,danceability,acousticness,loudness,duration_sec,playlist_placement,artist_popularity,completion_rate,skip_rate,replay_rate,save_rate,streams,viral_score,chart_hit
1,Artist_C,R&B,Sat,131.81312414462724,0.48235638155159155,0.9303188848378237,0.8914800156235068,-6.1395196393226,215.68393141949878,0,79,0.2476384667492038,0.8021877649456253,0.41512938877254035,0.17406650998160286,3877863,0.0,1
2,Artist_D,Pop,Sun,127.86100167875686,0.2103495799188686,0.25305843280078455,0.0029210326213620075,-19.539061258591865,211.90112317368084,0,53,0.01094927218034264,0.9525674966286011,0.12747394649828886,0.04043203838555518,2525184,0.0,0
3,Artist_A,Pop,Mon,145.94148896795426,0.34601656764483957,0.7811704237869193,0.03976596498856955,-51.78005621677972,267.7077763817856,1,23,0.05922515905174841,0.889645573434647,0.3256253259781143,0.10953262960378396,1148740,0.0,0
4,Artist_C,Indie,Mon,131.8835237732792,0.7758047357929561,0.8251321959287038,0.6040716770712192,-0.30111784049442036,192.82235815272313,0,36,0.3897036171974769,0.5951483139588081,0.48367094314544073,0.2230420063831276,1819553,11.156463556976027,0
5,Artist_C,R&B,Mon,159.2158593370894,0.9412375042323865,0.4954521034609818,0.907380164712847,-28.366040354765243,207.18199673247156,0,23,0.3612214289202079,0.639973325929107,0.4088884666989504,0.1949108257937267,1122265,0.0,0
6,Artist_D,Pop,Fri,175.08897534768334,0.0724162721463415,0.3863489098483155,0.23885666040192766,-36.48850221545527,122.40618298669122,1,62,0.16142392485481724,0.825367524649416,0.16531442245387973,0.08187911170712736,3077826,0.0,0
7,Artist_A,Indie,Thu,101.10291086142522,0.5342422059764451,0.45012443241975963,0.469641774680709,-20.453174131828412,193.75306255972902,0,23,0.21621564375507196,0.7807384646063888,0.2857380779999391,0.12896455215099611,1074161,0.0,0
8,Artist_A,R&B,Fri,87.28211796359844,0.8825334858196,0.22696469436536415,0.4504653016578183,-53.466401161137654,236.5993619310616,0,20,0.22520760933878964,0.7858662755450062,0.287422850364528,0.13126837697711632,942591,0.0,0
9,Artist_C,Indie,Thu,110.83162349045794,0.08250853444042128,0.8893909161288442,0.47297134609551017,-21.80768119479874,122.79149951278659,0,90,0.2652985979763642,0.6662879550873543,0.3500613907092667,0.15807813680805283,4465964,0.0,1
10,Artist_B,Hip-Hop,Fri,94.55155397708714,0.8245140468968338,0.4506196567297579,0.6225196957297452,-30.105839970043622,170.55875373352387,0,69,0.3788120426376374,0.5585231759971994,0.3883840711988542,0.19227762988718372,3420435,2.2138525088838623,0
11,Artist_C,Pop,Fri,133.79403157831854,0.35780135092827137,0.8824594404560998,0.46974376299068377,-35.599555800085014,157.4321446720902,0,92,0.3047481391183481,0.5591379738354947,0.4244705075553853,0.1882907800902852,4566926,5.362331381017582,1
12,Artist_C,Hip-Hop,Sat,169.42228906115577,0.32209470221933534,0.10569347990627409,0.4474681413224578,-2.8187987292660495,127.55737720372588,0,80,0.19486182246153722,0.8522654389611364,0.12567389662352202,0.07667453347936405,3898773,0.0,1
13,Artist_C,R&B,Wed,76.69394329716742,0.9774663863147858,0.9882752710001314,0.4742884204312605,-28.647616996076806,206.26681618461674,1,54,0.47610797635670715,0.5246533746741654,0.5870451836281635,0.2713351503597905,2827095,33.37269593137886,0
14,Artist_C,Hip-Hop,Fri,72.09535236190638,0.20085908986229417,0.44327308744361826,0.5908674412710415,-46.852951231803694,152.71019278106817,1,27,0.16357786787150497,0.8888146887017528,0.19539080646519374,0.0913328155138591,1350594,0.0,0
15,Artist_D,Hip-Hop,Sat,90.72186382243947,0.6931939408226809,0.04783082039410547,0.5370074883513584,-32.46219123736208,253.7546771336484,0,43,0.07933438614059662,0.8637787140688338,0.18023229146900108,0.06993656466881965,2053285,0.0,0
16,Artist_A,R&B,Tue,147.1314703274881,0.8214407280098664,0.038021848237454914,0.8541359976505043,-4.836755725639641,272.62701907740274,0,55,0.0909266226966321,0.910293744280026,0.1936359512172046,0.0762761099044878,2660784,0.0,0
17,Artist_D,Indie,Wed,131.1555486310586,0.041183495279271676,0.7462072574818386,0.049496853493666615,-49.43427172016432,218.2053328804466,1,69,0.029304183847183196,0.9814371414586468,0.23581144800867654,0.07660427117203959,3466885,0.0,0
18,Artist_D,Hip-Hop,Fri,72.26551970702396,0.6703854583544122,0.6590355342036808,0.8333170714730125,-47.16257767870579,296.7073216538055,0,62,0.10654664687489013,0.8653642283836092,0.35871490625526486,0.12892380125155747,3044868,0.0,0
19,Artist_D,Indie,Sun,170.25006267128958,0.951549974355327,0.8021305581275875,0.843924612611724,-59.218225934574974,201.08614286470714,1,46,0.43887381563823397,0.4834547944384264,0.5342582034216564,0.24805222415414374,2427924,29.88556331373737,0
20,Artist_C,Hip-Hop,Mon,154.8101564548904,0.12421996672805935,0.10536753395280596,0.28490802153096084,-59.14859703625397,212.4062778404848,1,51,0.0,1.0,0.056454253531453655,0.016936276059436095,2511786,0.0,0
21,Artist_B,Indie,Tue,62.7627125745165,0.8962213026850383,0.03557086703554835,0.46285195501585064,-10.236502382489249,298.059195712395,1,97,0.0694843030563349,1.0,0.18991552064767217,0.07087151680556864,4831198,0.0,1
22,Artist_A,R&B,Tue,138.16406531858954,0.5947766373769361,0.5085792894475785,0.4385384885374355,-16.072643589422654,161.67871847370878,0,37,0.31626907589287245,0.6646343105208593,0.3386022522054889,0.16483449084022117,1785174,0.0,0
23,Artist_B,Hip-Hop,Sat,152.54960022236855,0.616604581862474,0.38759523148276953,0.2185098343541303,-38.6975366128825,289.65826914184294,0,47,0.04484434075785759,0.9806670415006228,0.2434660775172011,0.08200869140673185,2273432,0.0,0
24,Artist_D,R&B,Tue,104.93224436645065,0.6129441748656059,0.46194693667095577,0.39679684708631646,-18.101330566345638,127.71075992144038,0,48,0.38214553743755275,0.5936149287446026,0.34244993022548736,0.17916408655515675,2397516,0.0,0
25,Artist_D,Hip-Hop,Wed,68.27058472406625,0.29883588633731384,0.991588408870274,0.044387772170854434,-36.28764442140179,200.34964024737508,1,35,0.21715275581423016,0.7330770640345325,0.41062828712163846,0.16661903729933755,1861930,0.0,0
26,Artist_B,R&B,Fri,69.27852785865447,0.9352018152994597,0.9707499576706702,0.27782207278173443,-2.8261922401303465,132.60063218395183,0,66,0.6030294532860143,0.4883336219618364,0.5805986259687257,0.29478547844782055,3388479,38.705048245470984,0
27,Artist_B,R&B,Fri,72.50963592621714,0.9473504626310387,0.9423153896731928,0.8166821754507181,-1.976839114437908,251.26225372445575,1,78,0.36487875553814253,0.5523528003915674,0.5616941493498521,0.24148399591258413,4005965,25.082534487086882,1
28,Artist_B,Hip-Hop,Sun,160.85275583765076,0.6253046602139478,0.7838426767676738,0.28456230176289754,-36.432373451439396,229.5136084584032,0,50,0.2478631825223075,0.7378616326291368,0.4126414085472644,0.1733650590686408,2465141,0.0,0
29,Artist_D,Hip-Hop,Mon,169.28234379068556,0.7834227259416147,0.3548413602568904,0.8182066687482475,-8.746685619547918,247.19416742416735,0,23,0.1899490275796893,0.8142671637824224,0.30028352050890555,0.12807486166860954,1138147,0.0,0
30,Artist_D,Hip-Hop,Sat,74.73729382148805,0.612257985881158,0.4121309302627716,0.5315994646044309,-13.614657498152027,187.40647199424305,0,56,0.25251643641653143,0.8300453925178328,0.28008179775149655,0.13452782660875526,2730698,0.0,0
31,Artist_A,Pop,Mon,88.30872415140973,0.4843984475740406,0.5496160437189245,0.87986267736116,-41.400003769692646,186.50674812564847,0,36,0.23066909152210419,0.8141603411896968,0.2989324343925461,0.13581354862218464,1742546,0.0,0
32,Artist_A,Indie,Tue,79.86246124407478,0.6608201182992507,0.8305344564048399,0.5747795542644152,-46.07761026593364,128.15747021296102,0,58,0.4741199981747463,0.4422675130968877,0.49287085796192454,0.2426852570235266,2901811,29.328860188856343,0
33,Artist_D,Pop,Sun,82.35850553929448,0.5530014525919584,0.06871283251826776,0.029668223064739818,-32.50592097642997,182.99008911533517,0,67,0.16896296930976656,0.8308995186385244,0.16503423654616714,0.08330286482580346,3261377,0.0,0
34,Artist_B,Pop,Mon,160.49889468029903,0.5974758626319301,0.4242968858848881,0.6754202075470892,-13.119069563135625,287.2719124071707,1,65,0.04930589741540825,0.9517471125028097,0.2564348157912905,0.08679162422046881,3297163,0.0,0
35,Artist_B,R&B,Wed,99.85756951859267,0.7838325534188619,0.08261766345926869,0.04485356802356866,-2.389932916275278,188.26077669248082,0,67,0.2535350006744368,0.7350480825605911,0.23454219320943478,0.1210696580977178,3312383,0.0,0
36,Artist_A,Hip-Hop,Fri,97.37331168547695,0.48090383144898485,0.5146575865735116,0.450597018983134,-14.185255868005648,269.64618711995456,0,58,0.056000675654387044,0.974989779722128,0.25558008631742485,0.08787416102610486,2792667,0.0,0
37,Artist_D,Indie,Tue,87.28747450525351,0.040754106092472764,0.8989008240062354,0.929426694473114,-8.6875808988978,271.61859085498816,0,23,0.0,0.9295446536122012,0.2919121376979249,0.08757364130937746,1061024,0.0,0
38,Artist_A,R&B,Sun,132.94732725531105,0.16399948098949724,0.7824849245639379,0.16520393933785016,-23.816141629769007,187.1834081482621,1,49,0.14772996101206232,0.8318382433611041,0.30117772489486,0.11989930967087047,2462841,0.0,0
39,Artist_A,Pop,Mon,105.51668380626586,0.4386072164895384,0.22784241754310997,0.3898723529415441,-9.875530149472446,233.75796247131404,1,49,0.05349544516180921,0.9704454922488445,0.16198507011107177,0.05929461006568337,2419806,0.0,0
40,Artist_C,Hip-Hop,Sat,149.30995822119468,0.7248265598740583,0.9759908495987925,0.7298603088484784,-12.934748519794944,137.16688840915054,0,41,0.5107950170510807,0.5231837672069514,0.5331258134130591,0.26209674743413386,2039943,27.203879364024164,0
41,Artist_C,R&B,Wed,84.66957700507649,0.5932786483101787,0.6673503980464284,0.8822585560948476,-37.38086748442319,138.66214453216978,1,94,0.3934572498690177,0.6140137238064421,0.3960581043146758,0.1975088812682063,4785413,0.0,1
42,Artist_C,Hip-Hop,Wed,154.53478664573908,0.6502941858734539,0.010427699397403067,0.6709430047425079,-26.880581872756736,128.7583794591084,1,85,0.3046864553106453,0.6808939346743398,0.1970083600590437,0.12003979907984216,4317469,0.0,1
43,Artist_B,R&B,Mon,132.44658380761666,0.4792789285762873,0.2554134846852195,0.2581732541911692,-11.714812680618309,224.58271680751972,0,31,0.09362883475251937,0.900374101566157,0.19240501080759193,0.07644727019278144,1460533,0.0,0
44,Artist_D,Hip-Hop,Fri,73.71207600668254,0.6157420219422428,0.26071329991991654,0.6746078529162162,-57.23659594860262,196.69277597269746,0,55,0.20505391681548546,0.8319664393033764,0.23496910650374825,0.11150151531422156,2699523,0.0,0
45,Artist_D,Pop,Mon,109.74055010443533,0.3290174378146622,0.06925430628585993,0.29672764110409,-11.515243058650206,218.6458241995632,0,37,0.008166187983910445,0.9935288512223626,0.08787400920421791,0.02799544035804746,1740010,0.0,0
46,Artist_D,Indie,Tue,163.62217687355485,0.47018259269666507,0.959826518075929,0.7184292298187352,-49.32671255705859,213.7931742915098,0,72,0.2524519921108322,0.6954556306171414,0.44289334783868345,0.18335840277377147,3573324,0.0,0
47,Artist_D,Pop,Mon,170.7552278158182,0.7442790655949556,0.47825529457592375,0.9540331275850406,-29.118982972713663,183.03653839633145,1,90,0.3272896083605041,0.6110355124422507,0.37012529900331814,0.17649551137309627,4567179,0.0,1
48,Artist_C,Indie,Wed,115.88401467825759,0.8718327789731212,0.895814597371882,0.7213934511062883,-11.503473626643746,241.9452146682251,0,20,0.34400560172717476,0.5815125272010198,0.5268084295659848,0.2268436492152304,1003711,17.213955158019544,0
49,Artist_B,Hip-Hop,Sun,117.70043737068883,0.4336553339563889,0.32221550344462835,0.8628805029124124,-44.77073531059831,256.5303385649503,1,77,0.024844557141580625,1.0,0.1833957178246663,0.059987626775716014,3802337,0.0,0
50,Artist_B,R&B,Mon,170.21456699271613,0.04366165770736119,0.12523357043282712,0.002103843175883413,-45.25155364163082,122.63308659798163,0,25,0.09724520397354663,0.9431278878070756,0.05767682510990526,0.036752088327680905,1120712,0.0,0
51,Artist_C,Pop,Fri,130.44818689638805,0.16167254414680265,0.4743361099062139,0.7175721247315944,-35.834136092264885,157.3036139583981,0,89,0.14492901172316758,0.849746594117805,0.2046860229776637,0.09039160923793263,4305385,0.0,1
